Canada;10;12;0.8333333333333333333
Prussia;20;26;0.7692307692307692307
France;113;151;0.7483443708609271523
Sweden;26;35;0.7428571428571428571
House of York;11;17;0.6470588235294117647
Poland;25;39;0.6410256410256410256
Portugal;20;34;0.5882352941176470588
Ottoman Empire;32;60;0.5333333333333333333
Spain;46;87;0.5287356321839080459
Adal Sultanate;5;10;0.5000000000000000000
The Netherlands;34;74;0.4594594594594594594
Hungary;7;16;0.4375000000000000000
Oda Nobunaga;7;16;0.4375000000000000000
England;33;79;0.4177215189873417721
Russia;12;29;0.4137931034482758620
House of Lancaster;6;17;0.3529411764705882352
Scotland;8;23;0.3478260869565217391
Great Britain;14;56;0.2500000000000000000
Holy Roman Empire;10;43;0.2325581395348837209
Papal States;2;10;0.2000000000000000000
Electorate of Saxony;2;12;0.1666666666666666666
Republic of Venice;2;15;0.1333333333333333333
Austria;5;51;0.0980392156862745098
